PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r200r500c,r1250f,,,5d5h3s2s5sJd9d,500|-500,qin.youwei.2,DeepStack 
k,k,r200c,k,7dTc2h3h9c6sQc6cQh,200|-200,DeepStack,qin.youwei.1 
r225c,k,k,k,ThAs6sAc2h3d5c2dJc,225|-225,DeepStack,takeda.tsuneaki.1 
r400c,cr1000c,cr2500r20000c,,Ks2sThAh9sTd3s5h8d,-20000|20000,DeepStack,qin.youwei.2 
r300f,,,,2s6s7s3s,-100|100,takeda.tsuneaki.1,DeepStack 
cr300c,r900c,r2700f,,AdKdQd6s2hKs6c8s,900|-900,DeepStack,takeda.tsuneaki.1 
r300r500c,r1250f,,,2s2hKs8h7h7d3s,500|-500,qin.youwei.1,DeepStack 
r200c,k,r400f,,As3d9s6cQdTdAh2s,200|-200,takeda.tsuneaki.1,DeepStack 
r300c,k,cr600f,,5c8sTsQs9dAh9hTc,-300|300,qin.youwei.2,DeepStack 
f,,,,AsThJs3c,50|-50,DeepStack,takeda.tsuneaki.1 
cr300c,k,k,cr750f,9s9c4c3c6d4dAdTc4h,-300|300,DeepStack,qin.youwei.1 
r300f,,,,4cJdJcQs,-100|100,takeda.tsuneaki.1,DeepStack 
f,,,,KsJdTc4s,50|-50,DeepStack,takeda.tsuneaki.1 
r500f,,,,Ac3d8h8c,-100|100,DeepStack,qin.youwei.2 
r200r525c,r1050c,r2170r4340f,,AsQd8c9cTc5s7s6c,-2170|2170,takeda.tsuneaki.1,DeepStack 
r200c,cr400f,,,8hKdQc7h2hAc3h,-200|200,qin.youwei.2,DeepStack 
k,cr300c,cr600c,k,3c7cKs5s3d4hAc6dKh,-600|600,qin.youwei.1,DeepStack 
r225c,k,k,k,Kc8h2c5d8dAd5hTd3d,-225|225,DeepStack,takeda.tsuneaki.1 
k,k,k,k,8s4d8hKd5cQhTcTsQs,-100|100,DeepStack,qin.youwei.2 
r300f,,,,2cQhAd4d,-100|100,DeepStack,qin.youwei.1 
k,k,k,k,Th3sQc6c2s8hKdJc4h,-100|100,takeda.tsuneaki.1,DeepStack 
r300c,k,cr900c,r2700c,3hTh7h7sKs6hAh7d9h,2700|-2700,qin.youwei.1,DeepStack 
r300r1100c,r2200c,r5500c,r16500c,AcKhJcThQcKc4c6hAd,-16500|16500,qin.youwei.2,DeepStack 
r225c,cr500f,,,9sJc4h6cAd6h5h,-225|225,DeepStack,takeda.tsuneaki.1 
f,,,,3sTs9s2c,50|-50,takeda.tsuneaki.1,DeepStack 
cr300f,,,,Kd4d4s8c,100|-100,DeepStack,takeda.tsuneaki.1 
r300f,,,,5h3s7hTc,-100|100,takeda.tsuneaki.1,DeepStack 
r300r900r2100c,cr4100r8200f,,,Ts9s7d7hAs9cTh,4100|-4100,DeepStack,takeda.tsuneaki.1 
r500c,cr1000f,,,8sJs6d6c2hTh5h,-500|500,DeepStack,qin.youwei.2 
cr300c,r600f,,,JhTdTs4dJsQs5c,300|-300,DeepStack,qin.youwei.1 
r300r500c,k,k,k,Kh9hJc7hQcAs3c5sTh,500|-500,qin.youwei.2,DeepStack 
r300r900f,,,,AsQh3hAd,300|-300,takeda.tsuneaki.1,DeepStack 
cr300c,r600c,cr1300r3900c,k,Ks6s5d2h8s2d5s9d9h,-3900|3900,DeepStack,takeda.tsuneaki.1 
cr200c,r600c,k,r1800c,3hAhTsKsJs7h9hJh8s,1800|-1800,qin.youwei.1,DeepStack 
cr300c,k,r600c,k,6hJhJd5c2s9c7sJc8c,0|0,DeepStack,qin.youwei.2 
cr300f,,,,9h9d5d2c,100|-100,DeepStack,qin.youwei.1 
r200c,k,cr400c,cr800f,9sAdTcTsKhKs6s8hQs,-400|400,takeda.tsuneaki.1,DeepStack 
k,k,cr200c,k,Qc3sKh5s2s2h2dAcJc,-200|200,qin.youwei.1,DeepStack 
r200c,cr600r1500c,r3750f,,8h9cJs8s2h7hTs5c,1500|-1500,qin.youwei.2,DeepStack 
r225c,cr500f,,,Qd7c8hJhAc9sAh,-225|225,DeepStack,takeda.tsuneaki.1 
k,cr200r400f,,,Qd4d4cJsQh8cQs,200|-200,takeda.tsuneaki.1,DeepStack 
cr300c,r600f,,,AdJh7s4s9s8dJd,300|-300,DeepStack,qin.youwei.1 
cr300f,,,,7dQd2cQh,100|-100,DeepStack,qin.youwei.2 
r225c,cr500c,k,k,7cAsAh6sJcQhQd8c2c,0|0,DeepStack,takeda.tsuneaki.1 
cr20000f,,,,AhKh7cQd,100|-100,qin.youwei.1,DeepStack 
r200c,k,k,cr600f,8sJh3cAsAd3hKd7s5c,-200|200,qin.youwei.2,DeepStack 
r200c,cr600c,k,r1800c,JcTd9d8d8s7h2s2d9s,1800|-1800,takeda.tsuneaki.1,DeepStack 
k,k,k,r300c,9d5c4h9c6c4dJdTs6d,-300|300,DeepStack,qin.youwei.1 
r225f,,,,8c3sQd5h,-100|100,DeepStack,takeda.tsuneaki.1 
f,,,,Ac2s6d5s,50|-50,takeda.tsuneaki.1,DeepStack 
r200c,k,cr400c,k,Qh5hAd4hTcQd2d8s8c,400|-400,DeepStack,qin.youwei.2 
r300c,r900r1800f,,,7d2d6dJdKsJh2h,-900|900,qin.youwei.1,DeepStack 
r300c,cr600f,,,5dAc2s3s9s8sTd,-300|300,takeda.tsuneaki.1,DeepStack 
cr300c,r600r900f,,,7s6sQc5sKdJs3d,-600|600,DeepStack,qin.youwei.1 
r300c,k,r600c,r1200r1800f,6h5s9cAcAd2sKh2d7h,-1200|1200,DeepStack,takeda.tsuneaki.1 
f,,,,Ah2s3h2d,50|-50,qin.youwei.1,DeepStack 
cr300c,r600c,cr1200f,,6s4c3hThKdTsKs7h,-600|600,DeepStack,qin.youwei.1 
r300c,k,r600c,k,Js8c6sJh2hTs6c8hKc,600|-600,qin.youwei.2,DeepStack 
r300f,,,,5c8dQc5h,-100|100,takeda.tsuneaki.1,DeepStack 
f,,,,Ah8d2dTs,50|-50,DeepStack,takeda.tsuneaki.1 
f,,,,Jd4h8c3h,50|-50,takeda.tsuneaki.1,DeepStack 
r250f,,,,4hJdJcKs,-100|100,DeepStack,takeda.tsuneaki.1 
r300c,r750c,cr2250f,,4d7sJs4sJc8s7h3s,-750|750,qin.youwei.1,DeepStack 
cr300f,,,,Ah5d7h4c,100|-100,takeda.tsuneaki.1,DeepStack 
r400r1200c,cr2400r4800f,,,AdJdQdAc4s2c9h,2400|-2400,DeepStack,qin.youwei.2 
f,,,,TdJs2c8s,50|-50,DeepStack,takeda.tsuneaki.1 
k,cr200c,r450r900c,k,3dKhQsJd4hJc5hAh4c,-900|900,takeda.tsuneaki.1,DeepStack 
r300f,,,,8s2s4d6c,-100|100,qin.youwei.2,DeepStack 
r200c,k,r400r800f,,5cJhTs7s4s9cAh2h,-400|400,DeepStack,qin.youwei.1 
f,,,,TcKdJs5d,50|-50,DeepStack,takeda.tsuneaki.1 
f,,,,8sTd3h7s,50|-50,takeda.tsuneaki.1,DeepStack 
r250r750f,,,,Ad9d3hKc,250|-250,DeepStack,takeda.tsuneaki.1 
f,,,,KhJd2d5h,50|-50,takeda.tsuneaki.1,DeepStack 
cr300f,,,,ThAhTc5h,100|-100,DeepStack,qin.youwei.2 
k,k,r300f,,7h9c4sJd5s8d7s3d,100|-100,DeepStack,takeda.tsuneaki.1 
k,k,k,k,3sQs3cQhAdJcAc6s8h,0|0,qin.youwei.1,DeepStack 
cr300f,,,,9cJc8h4d,100|-100,takeda.tsuneaki.1,DeepStack 
f,,,,Jd3d9s2h,50|-50,qin.youwei.2,DeepStack 
f,,,,7dJc9h4d,50|-50,DeepStack,takeda.tsuneaki.1 
r300c,cr900f,,,Js7h8s2sTs6sAc,-300|300,takeda.tsuneaki.1,DeepStack 
cr300c,cr600f,,,5cJc8d3d3s8s7d,-300|300,DeepStack,qin.youwei.2 
r200c,cr400f,,,5d7hJcTdJhQh6c,-200|200,DeepStack,qin.youwei.1 
r200r600c,r1200r2100f,,,AcKdJd7d7c4s3d,-1200|1200,DeepStack,takeda.tsuneaki.1 
k,cr200f,,,6h2h3hQc5c7hAd,-100|100,qin.youwei.1,DeepStack 
r300c,k,cr600c,cr1800r3600c,6s4sQc2cAsQdQs3h5s,3600|-3600,qin.youwei.2,DeepStack 
cr300f,,,,8d8sQs4h,100|-100,takeda.tsuneaki.1,DeepStack 
r200c,k,r600f,,8c7h4sKd6c2c9c9h,200|-200,DeepStack,takeda.tsuneaki.1 
cr300c,r600f,,,Jc8cTs8hKcAh8d,300|-300,DeepStack,qin.youwei.1 
r200c,k,k,cr1000f,8h5dQs9hQcJs3cJd7d,-200|200,qin.youwei.1,DeepStack 
r200c,cr400f,,,Kc7d6sAd5c2sAh,-200|200,takeda.tsuneaki.1,DeepStack 
k,k,k,k,3cJh6h2c8hQs7cAd3h,100|-100,DeepStack,qin.youwei.2 
cr300f,,,,QdQh4d9c,100|-100,DeepStack,takeda.tsuneaki.1 
r300c,r400c,k,r850c,Tc7sJc8sJh2h9cQc9s,-850|850,takeda.tsuneaki.1,DeepStack 
r300c,k,k,cr900f,6h3sKd4s7sKh8h6s2d,-300|300,qin.youwei.2,DeepStack 
cr300f,,,,Kd8d5hKs,100|-100,DeepStack,qin.youwei.1 
r200r300c,k,k,k,7cTdTc8sQc2cKh4s4h,0|0,qin.youwei.1,DeepStack 
cr300c,r600c,r1200c,cr3600c,5s5dKc8dAsAd5cAc4d,3600|-3600,DeepStack,takeda.tsuneaki.1 
cr300r500c,k,k,k,Kc6c6hJh7s8sTcKdTh,500|-500,DeepStack,qin.youwei.2 
r200c,k,k,r400f,3hKhTs5hQc2d8h9cKc,200|-200,DeepStack,qin.youwei.1 
k,cr300r650c,r1550c,r3950f,5h4sTsKc6c8dTc8h7d,1550|-1550,takeda.tsuneaki.1,DeepStack 
r200c,cr400r700r1400f,,,6c9d8s8h3d4d3c,-700|700,qin.youwei.2,DeepStack 
cr400f,,,,5dJc9h4d,100|-100,qin.youwei.1,DeepStack 
r300c,cr700f,,,Ts2s9h9s3d5c8d,-300|300,DeepStack,takeda.tsuneaki.1 
r200r600c,r1200f,,,3c3h8d9hTsQh5h,600|-600,DeepStack,qin.youwei.1 
r300f,,,,7d3s3hAh,-100|100,DeepStack,qin.youwei.2 
r300c,k,k,k,Ad3s7d5d5h8cTh2cKh,-300|300,takeda.tsuneaki.1,DeepStack 
r200r300c,k,r750c,k,Kd7hJhKsKh2d2hTcAh,0|0,qin.youwei.2,DeepStack 
k,r200c,cr600c,r1200c,3cKdKcKsAcAsQdAh6s,-1200|1200,qin.youwei.1,DeepStack 
r225c,cr500f,,,9c8d9dQd5s3hKc,-225|225,DeepStack,takeda.tsuneaki.1 
r300c,cr900f,,,2d4d6cJcTsJhAh,-300|300,takeda.tsuneaki.1,DeepStack 
k,k,k,k,2sJsJc4cKsThKd5cTc,0|0,DeepStack,qin.youwei.2 
k,cr250c,cr750f,,Kc6d4d5sQhJhKh4h,-250|250,DeepStack,qin.youwei.1 
r300f,,,,Qs3d8c5s,-100|100,DeepStack,takeda.tsuneaki.1 
r300r900c,r1875c,k,r5375f,2c8d9c8cAh7s3c2dQh,1875|-1875,takeda.tsuneaki.1,DeepStack 
r200c,cr600f,,,Tc6cKsQc4s7sKd,-200|200,qin.youwei.1,DeepStack 
r300r500c,r1500c,cr3000c,cr15000f,8s9h6dJd7dQsAd8dTc,-3000|3000,qin.youwei.2,DeepStack 
r200c,cr600f,,,2sJhQs5cQc3h8c,-200|200,DeepStack,qin.youwei.1 
cr200c,k,r300c,k,4dAc4cAs9cKdKh8hJs,0|0,qin.youwei.1,DeepStack 
r200r600c,r1200c,r2400f,,TcJdJs7d7h5s8sQh,1200|-1200,DeepStack,qin.youwei.2 
r200c,k,k,k,Jh8c9dQc4hTd6s2cTs,-200|200,DeepStack,qin.youwei.1 
cr500f,,,,9sAs8c6d,100|-100,qin.youwei.2,DeepStack 
cr300c,cr600c,cr1500c,k,6dJdQd3h3cKd3s6sKs,-1500|1500,DeepStack,qin.youwei.2 
r300r500c,k,r1000c,k,6s6h9h9sTs2dKc2h8h,-1000|1000,qin.youwei.1,DeepStack 
cr300f,,,,8hKd2sTc,100|-100,DeepStack,qin.youwei.1 
cr250f,,,,Ad4d3c7d,100|-100,qin.youwei.1,DeepStack 
r400f,,,,8h4cAcTs,-100|100,DeepStack,qin.youwei.1 
k,r200f,,,Jd6cTd4h6d5h9c,100|-100,qin.youwei.2,DeepStack 
r300r500c,r1000c,r2500f,,Ad5dJcAs8h2d5hKd,1000|-1000,qin.youwei.1,DeepStack 
k,k,cr300f,,3dTd4hQh2dKs8h6h,-100|100,DeepStack,qin.youwei.2 
cr300c,r600f,,,3dJd5h3s9dQcTc,300|-300,DeepStack,qin.youwei.1 
r200c,cr600f,,,8cThTc6hKh3h6c,-200|200,qin.youwei.2,DeepStack 
r300c,k,r600c,k,Kd6sThKs4d6dAh4hQc,600|-600,qin.youwei.1,DeepStack 
r600f,,,,4c5dAdKh,-100|100,DeepStack,qin.youwei.2 
k,k,k,cr700f,2dAc4c8hTd7d5hAd6s,-100|100,DeepStack,qin.youwei.1 
r300c,cr900f,,,8dQc4cKcTc3d5s,-300|300,qin.youwei.2,DeepStack 
cr300c,r600c,k,k,5hAsJd9cKs2cJs5d6c,-600|600,DeepStack,qin.youwei.2 
cr400c,cr800r1200c,r3000f,,2h2sAhTd2d6sKh8c,1200|-1200,qin.youwei.1,DeepStack 
r200c,k,k,k,5s6s4s6d5d4h9hJhAs,200|-200,qin.youwei.2,DeepStack 
cr300f,,,,9cAs3dTh,100|-100,DeepStack,qin.youwei.1 
k,k,k,r300f,8h4d6d4c5c5h8s2hTs,100|-100,DeepStack,qin.youwei.2 
f,,,,2c6d7c2d,50|-50,qin.youwei.1,DeepStack 
cr300c,cr750f,,,KcAh3h3d2dTd9s,-300|300,DeepStack,qin.youwei.1 
r300c,k,r900f,,QdTsJc2cJh8c9dTh,300|-300,qin.youwei.2,DeepStack 
r300c,k,k,k,5cAhAcQcTh5d3sTcKc,300|-300,qin.youwei.1,DeepStack 
r250f,,,,2h6s5d9d,-100|100,DeepStack,takeda.tsuneaki.1 
k,cr250c,cr500f,,8c2sQd2d8d6sQh9c,-250|250,DeepStack,qin.youwei.2 
k,k,k,cr300c,8dQc5d8hKs2c6s2dTh,300|-300,takeda.tsuneaki.1,DeepStack 
r400f,,,,2h3dThAs,-100|100,DeepStack,qin.youwei.1 
r300c,k,k,cr900f,Kc9hTs8c9sTd7d3dJc,-300|300,qin.youwei.1,DeepStack 
f,,,,5s4c3dTs,50|-50,DeepStack,takeda.tsuneaki.1 
r300f,,,,5d3hKcQs,-100|100,qin.youwei.2,DeepStack 
r300f,,,,4dJdKsTs,-100|100,takeda.tsuneaki.1,DeepStack 
r250f,,,,Qd4h8cTc,-100|100,DeepStack,takeda.tsuneaki.1 
r300r750c,r1550c,r3050c,k,TsAsJhJs5d3h6hQdTd,-3050|3050,takeda.tsuneaki.1,DeepStack 
r200f,,,,2s3c6hKh,-100|100,DeepStack,qin.youwei.2 
r200c,k,r500f,,Tc4s3cAs7d8h8d5h,200|-200,qin.youwei.2,DeepStack 
r300c,cr750c,cr1500c,k,Ad6cAhTh4s6d9sTd9d,-1500|1500,DeepStack,takeda.tsuneaki.1 
r500f,,,,3cAdKdKc,-100|100,DeepStack,qin.youwei.1 
r200c,r500r1000r1800c,r4500c,k,2s3dAh7c7h2c3sTd9h,4500|-4500,qin.youwei.1,DeepStack 
k,k,k,k,6h2c5h4c4dAh7dAd3h,-100|100,DeepStack,qin.youwei.2 
cr300c,r625r1250c,r2750r8250c,r20000f,6s8sKh2d2s5sQd7d3c,8250|-8250,takeda.tsuneaki.1,DeepStack 
r200c,r500c,k,k,8dKs8s9sThAs8cQd5s,500|-500,qin.youwei.2,DeepStack 
f,,,,Jh3cJc5s,50|-50,DeepStack,takeda.tsuneaki.1 
k,r200c,cr400c,k,6sTd3sJd5dJc6dAc7c,-400|400,takeda.tsuneaki.1,DeepStack 
r500f,,,,6cJsAcJc,-100|100,DeepStack,qin.youwei.1 
r200c,cr600f,,,Td4dAs8d4hAcQh,-200|200,qin.youwei.1,DeepStack 
r300c,k,r600c,cr1000c,4c9cQcAh6h7d4s6sQd,-1000|1000,DeepStack,takeda.tsuneaki.1 
r200r600c,r1200f,,,6d9d4hTd8d2h7c,600|-600,DeepStack,qin.youwei.2 
r400f,,,,4sJhAs2s,-100|100,DeepStack,qin.youwei.1 
cr200c,k,r425f,,Ks9h9s3cQcKh7h6c,200|-200,takeda.tsuneaki.1,DeepStack 
r300c,cr900f,,,7dJsAdTh4sTd5c,-300|300,qin.youwei.1,DeepStack 
k,k,k,cr300f,3d5hKc3cKdQcAs9c7s,-100|100,qin.youwei.2,DeepStack 
k,k,k,cr400c,3hAd6h3sAcAs2dQsKs,400|-400,DeepStack,takeda.tsuneaki.1 
r200r600f,,,,QcKs4hJh,200|-200,DeepStack,qin.youwei.1 
cr400c,r1000f,,,Jc9hJs7sKhAsAh,400|-400,qin.youwei.1,DeepStack 
r200r550c,cr1100r1650c,k,k,AdKcQhJdAh5hTs7hJc,1650|-1650,takeda.tsuneaki.1,DeepStack 
cr300f,,,,JsKc3c9s,100|-100,DeepStack,qin.youwei.2 
r400f,,,,5s3hKcJd,-100|100,DeepStack,qin.youwei.1 
k,cr300f,,,5c4h7d8c7s9sJh,-100|100,DeepStack,takeda.tsuneaki.1 
r200c,r500r1000c,cr3000f,,3dKc9c8sKs7sJd6c,-1000|1000,qin.youwei.1,DeepStack 
r300r900c,r2250f,,,As4d7h6hQc4sTs,900|-900,qin.youwei.2,DeepStack 
r300c,cr600c,cr1800f,,2sKsKhQh6d5cThJh,-600|600,takeda.tsuneaki.1,DeepStack 
cr300c,r600f,,,Ac5c5h7s6hQcQs,300|-300,DeepStack,qin.youwei.1 
k,r300r500c,cr1250f,,8c2h3sQs2dTdQhKs,-500|500,DeepStack,qin.youwei.2 
f,,,,5s8h4dTh,50|-50,DeepStack,takeda.tsuneaki.1 
r300r800c,r1500f,,,AdQsTd8c3c9c9h,800|-800,takeda.tsuneaki.1,DeepStack 
cr400f,,,,3cAhKh4c,100|-100,qin.youwei.1,DeepStack 
k,cr200c,cr500r1500f,,5dTs7h2h3dTc5h5s,500|-500,DeepStack,takeda.tsuneaki.1 
r200r300c,k,r750c,r1875c,9s8d5h3c9d5d8h2sQh,1875|-1875,qin.youwei.2,DeepStack 
r400c,cr1200r3600f,,,9s5s3c3h6cQd6d,1200|-1200,DeepStack,qin.youwei.1 
r300f,,,,2cJhKs8h,-100|100,takeda.tsuneaki.1,DeepStack 
r200c,cr425r850c,k,cr1650c,Kc4h9cJhKh9hKsTh6h,-1650|1650,DeepStack,takeda.tsuneaki.1 
r300c,r900r1800c,k,k,As2cAd2s3s5sAc9dJh,0|0,qin.youwei.1,DeepStack 
f,,,,4c7s2s7h,50|-50,DeepStack,qin.youwei.2 
r300c,k,k,k,8c6dJcKd9hQcAd7h8d,300|-300,takeda.tsuneaki.1,DeepStack 
k,k,r200c,k,Qs5d3h9s8s9d5c6h8h,-200|200,DeepStack,qin.youwei.1 
cr300c,r600f,,,QcKc8s4hJcAs6h,300|-300,DeepStack,takeda.tsuneaki.1 
r200c,cr600c,k,cr1200c,JhJd9dAh6cAc4h3cTs,-1200|1200,qin.youwei.2,DeepStack 
r300c,cr900c,cr2700f,,KsQcJdKd9dAsTs2c,-900|900,takeda.tsuneaki.1,DeepStack 
cr200r600f,,,,Kc6hJsAs,-200|200,qin.youwei.1,DeepStack 
r200r600c,r1800c,r5400c,k,JhTdKd3cKhQh2c4d4c,-5400|5400,DeepStack,takeda.tsuneaki.1 
r500c,cr600c,cr700c,cr1400c,3sAsAh7hTdJs6dAc5c,-1400|1400,DeepStack,qin.youwei.2 
k,cr200f,,,Jh2sTs8c9s9cKc,-100|100,DeepStack,qin.youwei.1 
k,r300f,,,3s5s5cQc3h4d4h,100|-100,takeda.tsuneaki.1,DeepStack 
f,,,,3cThJs4h,50|-50,DeepStack,takeda.tsuneaki.1 
f,,,,7h2h3c8s,50|-50,qin.youwei.1,DeepStack 
r300c,cr900f,,,9c6sJc5sJd8s3d,-300|300,takeda.tsuneaki.1,DeepStack 
k,k,k,cr200c,4c3dKd2c6cJh5h3c4d,-200|200,DeepStack,qin.youwei.1 
cr300c,k,k,r600r900c,9hAdJs7c8cAs9cThJd,-900|900,DeepStack,takeda.tsuneaki.1 
r300f,,,,2sQcJsAd,-100|100,qin.youwei.2,DeepStack 
k,k,r200c,k,3hJh7c5d3d4c8h4s5s,-200|200,DeepStack,qin.youwei.2 
k,k,r300c,r1500f,9c7s4s6d8d5c8c4dQc,300|-300,takeda.tsuneaki.1,DeepStack 
r200r300c,r400c,r1000f,,KsJs9c8cJdThAhJh,400|-400,qin.youwei.1,DeepStack 
cr300c,r600f,,,5s9s3s4c7cThAs,300|-300,DeepStack,takeda.tsuneaki.1 
r200c,cr300f,,,6dJhTdJsKs7s3d,-200|200,DeepStack,qin.youwei.1 
k,k,cr200f,,7sThQc3dAh9dQsAd,-100|100,qin.youwei.2,DeepStack 
cr300r900c,r2700f,,,4d4sKcQh9sTs9d,900|-900,takeda.tsuneaki.1,DeepStack 
r300f,,,,2d8h7sKh,-100|100,qin.youwei.1,DeepStack 
r200r600f,,,,Ad5d4d5c,200|-200,DeepStack,takeda.tsuneaki.1 
k,cr200c,k,k,8cKs2cThTd4cAdQc4h,-200|200,takeda.tsuneaki.1,DeepStack 
k,k,k,k,Ac7h6dTh4cQh8d9sQs,100|-100,DeepStack,qin.youwei.1 
cr300c,r600c,r1800f,,6c5h6hTh4h9sKh3s,600|-600,DeepStack,qin.youwei.2 
r300r900r2250c,cr20000f,,,KcQdKsAs6s7h4c,-2250|2250,DeepStack,takeda.tsuneaki.1 
cr200c,k,k,k,Kc3h9dAh8cQd2hJh4h,-200|200,qin.youwei.2,DeepStack 
cr300f,,,,As8c4h9c,100|-100,takeda.tsuneaki.1,DeepStack 
r300f,,,,4s8cAhTh,-100|100,qin.youwei.1,DeepStack 
r300c,cr700c,k,k,9cAs8h8c9d2cQhJh9s,700|-700,DeepStack,takeda.tsuneaki.1 
r200r600c,r1800f,,,8h9sJdQd2c2hAd,600|-600,DeepStack,qin.youwei.1 
r200c,k,r400f,,4hAs8d9d3hKsQs4s,200|-200,DeepStack,qin.youwei.2 
r300c,cr900f,,,3dAh7sKhQh2sKs,-300|300,takeda.tsuneaki.1,DeepStack 
r300c,r750f,,,Ah6c6h8s3dKd9c,300|-300,qin.youwei.1,DeepStack 
r200c,k,k,k,Td6cJc9s4sAhQdAd3c,-200|200,DeepStack,takeda.tsuneaki.1 
k,cr200c,r300f,,4cJsQh2d8dKc4d3c,200|-200,qin.youwei.2,DeepStack 
cr300f,,,,ThTd4dTs,100|-100,DeepStack,qin.youwei.1 
cr400f,,,,5h4c5s8c,100|-100,qin.youwei.1,DeepStack 
r300c,k,r600f,,5dAc6hThJc9s8hTd,300|-300,takeda.tsuneaki.1,DeepStack 
r400c,cr1000c,cr2500c,cr5000c,As9hQd9s8d5hAhAcKc,5000|-5000,DeepStack,qin.youwei.2 
r400f,,,,8sKhJhKs,-100|100,DeepStack,qin.youwei.1 
r300c,k,k,k,3c3dJhKd9sTc6c8d2h,300|-300,qin.youwei.1,DeepStack 
r200r600c,r1200c,k,r2400c,TdKh2dAh3s9c3d8cTc,2400|-2400,DeepStack,takeda.tsuneaki.1 
f,,,,JdAc8h2s,50|-50,qin.youwei.2,DeepStack 
r200c,cr600f,,,Qh4hQcKh9hKs9c,-200|200,DeepStack,qin.youwei.2 
k,k,k,k,4h2c4s3s7dThKhTc9c,0|0,DeepStack,qin.youwei.1 
r300r800c,r1600c,k,r2900r8700c,Ah9c3sTs6sAc8s2s9h,-8700|8700,takeda.tsuneaki.1,DeepStack 
r300f,,,,9s4c8s7s,-100|100,qin.youwei.2,DeepStack 
r400f,,,,3hKd8hAc,-100|100,DeepStack,qin.youwei.2 
k,r250c,r625f,,8dJcQc6h5d8s4d2d,250|-250,qin.youwei.1,DeepStack 
k,cr200f,,,6c3h6d3dTsAh2h,-100|100,DeepStack,takeda.tsuneaki.1 
k,k,k,k,3d6s3s4cKdTd9c4dJh,-100|100,qin.youwei.2,DeepStack 
cr300f,,,,9cQc8d4h,100|-100,takeda.tsuneaki.1,DeepStack 
f,,,,8dQd2d7c,50|-50,DeepStack,qin.youwei.1 
r300c,k,r900r1800c,cr3800f,KcJh7c5c6cJs9c5d8s,-1800|1800,DeepStack,takeda.tsuneaki.1 
f,,,,As4c2h8s,50|-50,DeepStack,qin.youwei.2 
r200r600c,r1500r3000c,k,k,9d9sAs4dQc3d4sTh6h,3000|-3000,qin.youwei.1,DeepStack 
r300c,r900c,r2700c,r8100f,4sJsJh4c3cJc2h6d4h,2700|-2700,qin.youwei.2,DeepStack 
r200c,k,r300c,r900f,2c9h7c4c9d4dKdTd7d,300|-300,takeda.tsuneaki.1,DeepStack 
cr300c,k,k,k,7cTc8dAc3dJd5h9h2h,-300|300,DeepStack,qin.youwei.1 
r300c,cr750f,,,8hKd9cKc4s9hJd,-300|300,DeepStack,qin.youwei.2 
r250f,,,,3h6dJdQh,-100|100,DeepStack,takeda.tsuneaki.1 
cr400f,,,,AdKcJh2s,100|-100,qin.youwei.1,DeepStack 
cr400f,,,,JcKsJd2s,100|-100,qin.youwei.2,DeepStack 
r400c,cr1000r2000f,,,8sQsAsKc6s7s5h,1000|-1000,DeepStack,qin.youwei.1 
k,r300f,,,5h7h5cTd4c6cAh,100|-100,takeda.tsuneaki.1,DeepStack 
r200c,k,k,k,5c3h2h5sKcTsQh6h6s,0|0,DeepStack,qin.youwei.2 
r300c,k,cr600f,,4cKc9hQc9dTc6h9s,-300|300,qin.youwei.1,DeepStack 
r300c,cr800f,,,9hAs2cAc6h3s4c,-300|300,DeepStack,takeda.tsuneaki.1 
r200r500c,k,cr1000c,k,Ah2d8d6sTh5h3dTsKc,1000|-1000,qin.youwei.2,DeepStack 
r200c,r300c,r700f,,6s7dAc3c7hQs7s4s,300|-300,takeda.tsuneaki.1,DeepStack 
r400f,,,,Kd7cAh3s,-100|100,DeepStack,qin.youwei.1 
cr300f,,,,JsQs4d9c,100|-100,qin.youwei.1,DeepStack 
k,cr300f,,,6dQh4c2d9c7s6s,-100|100,DeepStack,takeda.tsuneaki.1 
k,k,k,cr500c,7h3c4hQs8hJs5cTs9s,-500|500,DeepStack,qin.youwei.2 
r300r900c,cr2250c,k,k,Jc8cAs9hJdQc3h8d8h,2250|-2250,DeepStack,qin.youwei.1 
cr300f,,,,9cKcQc3s,100|-100,takeda.tsuneaki.1,DeepStack 
k,cr300f,,,5s9d7h7dQhAs7c,-100|100,qin.youwei.2,DeepStack 
r300c,cr750f,,,KsJc3s3d7d9s6d,-300|300,DeepStack,takeda.tsuneaki.1 
r300f,,,,2s6c3cJc,-100|100,qin.youwei.1,DeepStack 
r500c,cr1000c,k,k,JdQc9s6cJhKcJc5s6d,1000|-1000,DeepStack,qin.youwei.1 
cr300c,r750c,k,cr2250c,Ks9hAs4c4dKh5hAc6h,-2250|2250,takeda.tsuneaki.1,DeepStack 
cr300c,k,k,r600f,Ah5h4dQd9s8dThKsAc,300|-300,DeepStack,qin.youwei.2 
r300c,k,k,cr900c,8dQd6hTcTsJc3d8c4d,-900|900,qin.youwei.1,DeepStack 
k,cr300f,,,2s7h6s4dAs5hTc,-100|100,DeepStack,takeda.tsuneaki.1 
f,,,,9h2c2s9d,50|-50,takeda.tsuneaki.1,DeepStack 
r300f,,,,Kc5sKsJs,-100|100,DeepStack,takeda.tsuneaki.1 
r300r1000f,,,,9hAhQc7h,300|-300,qin.youwei.2,DeepStack 
